Club,Country,Participated,Titles,Played,Win,Draw,Loss,Goals For,Goals Against,Pts,Goal Diff
Real Madrid CF,ESP,52,14,464,277,79,108,1021,508.0,633.0,513.0
AC Milan,ITA,29,7,255,126,65,64,422,240.0,317.0,182.0
Liverpool FC,ENG,26,6,240,137,50,53,453,216.0,324.0,237.0
FC Bayern Munchen,GER,38,6,372,221,75,76,782,367.0,517.0,415.0
FC Barcelona,ESP,32,5,333,195,75,63,655,331.0,465.0,324.0
AFC Ajax,NED,38,4,241,110,64,67,385,266.0,284.0,119.0
Manchester United,ENG,30,3,293,160,69,64,533,284.0,389.0,249.0
FC Internazionale Milano,ITA,23,3,192,91,51,50,271,193.0,233.0,78.0
Chelsea FC,ENG,18,2,191,99,52,40,330,172.0,250.0,158.0
FC Porto,POR,36,2,261,117,60,84,383,296.0,294.0,87.0
SL Benfica,POR,41,2,273,120,64,89,437,319.0,304.0,118.0
Juventus,ITA,36,2,295,152,70,73,470,288.0,374.0,182.0
Celtic FC,SCO,36,1,216,101,37,78,333,255.0,239.0,78.0
Borussia Dortmund,GER,20,1,162,78,30,54,276,207.0,186.0,69.0
PSV Eindhoven,NED,29,1,183,68,42,73,243,228.0,178.0,15.0
Arsenal FC,ENG,21,0,201,101,43,57,332,218.0,245.0,114.0
Club Atlético de Madrid,ESP,17,0,154,75,40,39,221,143.0,190.0,78.0
Paris Saint-Germain,FRA,15,0,135,73,25,37,267,156.0,171.0,111.0
Manchester City FC,ENG,12,0,106,58,19,29,213,126.0,135.0,87.0
Tottenham Hotspur,ENG,6,0,55,25,10,20,108,83.0,60.0,25.0
SSC Napoli,ITA,9,0,52,22,15,15,80,65.0,59.0,15.0
